Variable,Index,Value
athlete_swims_event_solo,"Fast1,100Free",1
athlete_swims_event_solo,"Fast1,200Free",0
athlete_swims_event_solo,"Fast1,400Free",1
athlete_swims_event_solo,"Fast1,50Free",1
athlete_swims_event_solo,"Fast2,100Free",0
athlete_swims_event_solo,"Fast2,200Free",1
athlete_swims_event_solo,"Fast2,400Free",1
athlete_swims_event_solo,"Fast2,50Free",1
athlete_swims_event_solo,"Fast3,100Free",1
athlete_swims_event_solo,"Fast3,200Free",1
athlete_swims_event_solo,"Fast3,400Free",1
athlete_swims_event_solo,"Fast3,50Free",0
athlete_swims_event_solo,"Fast4,100Free",1
athlete_swims_event_solo,"Fast4,200Free",1
athlete_swims_event_solo,"Fast4,400Free",0
athlete_swims_event_solo,"Fast4,50Free",1
athlete_swims_event_solo,"Slow1,100Free",0
athlete_swims_event_solo,"Slow1,200Free",1
athlete_swims_event_solo,"Slow1,400Free",1
athlete_swims_event_solo,"Slow1,50Free",1
athlete_swims_event_solo,"Slow2,100Free",1
athlete_swims_event_solo,"Slow2,200Free",1
athlete_swims_event_solo,"Slow2,400Free",0
athlete_swims_event_solo,"Slow2,50Free",1
athlete_swims_event_solo,"Slow3,100Free",1
athlete_swims_event_solo,"Slow3,200Free",1
athlete_swims_event_solo,"Slow3,400Free",1
athlete_swims_event_solo,"Slow3,50Free",0
athlete_swims_event_solo,"Slow4,100Free",0
athlete_swims_event_solo,"Slow4,200Free",1
athlete_swims_event_solo,"Slow4,400Free",1
athlete_swims_event_solo,"Slow4,50Free",1
is_athlete_faster,"Fast1,Fast2,100Free",0
is_athlete_faster,"Fast1,Fast2,200Free",0
is_athlete_faster,"Fast1,Fast2,400Free",0
is_athlete_faster,"Fast1,Fast2,50Free",0
is_athlete_faster,"Fast1,Fast3,100Free",0
is_athlete_faster,"Fast1,Fast3,200Free",0
is_athlete_faster,"Fast1,Fast3,400Free",0
is_athlete_faster,"Fast1,Fast3,50Free",0
is_athlete_faster,"Fast1,Fast4,100Free",1
is_athlete_faster,"Fast1,Fast4,200Free",0
is_athlete_faster,"Fast1,Fast4,400Free",0
is_athlete_faster,"Fast1,Fast4,50Free",0
is_athlete_faster,"Fast1,Slow1,100Free",1
is_athlete_faster,"Fast1,Slow1,200Free",1
is_athlete_faster,"Fast1,Slow1,400Free",1
is_athlete_faster,"Fast1,Slow1,50Free",1
is_athlete_faster,"Fast1,Slow2,100Free",1
is_athlete_faster,"Fast1,Slow2,200Free",1
is_athlete_faster,"Fast1,Slow2,400Free",1
is_athlete_faster,"Fast1,Slow2,50Free",1
is_athlete_faster,"Fast1,Slow3,100Free",1
is_athlete_faster,"Fast1,Slow3,200Free",1
is_athlete_faster,"Fast1,Slow3,400Free",1
is_athlete_faster,"Fast1,Slow3,50Free",1
is_athlete_faster,"Fast1,Slow4,100Free",1
is_athlete_faster,"Fast1,Slow4,200Free",1
is_athlete_faster,"Fast1,Slow4,400Free",1
is_athlete_faster,"Fast1,Slow4,50Free",1
is_athlete_faster,"Fast2,Fast1,100Free",0
is_athlete_faster,"Fast2,Fast1,200Free",0
is_athlete_faster,"Fast2,Fast1,400Free",0
is_athlete_faster,"Fast2,Fast1,50Free",0
is_athlete_faster,"Fast2,Fast3,100Free",0
is_athlete_faster,"Fast2,Fast3,200Free",0
is_athlete_faster,"Fast2,Fast3,400Free",0
is_athlete_faster,"Fast2,Fast3,50Free",0
is_athlete_faster,"Fast2,Fast4,100Free",1
is_athlete_faster,"Fast2,Fast4,200Free",0
is_athlete_faster,"Fast2,Fast4,400Free",0
is_athlete_faster,"Fast2,Fast4,50Free",1
is_athlete_faster,"Fast2,Slow1,100Free",1
is_athlete_faster,"Fast2,Slow1,200Free",1
is_athlete_faster,"Fast2,Slow1,400Free",1
is_athlete_faster,"Fast2,Slow1,50Free",1
is_athlete_faster,"Fast2,Slow2,100Free",1
is_athlete_faster,"Fast2,Slow2,200Free",1
is_athlete_faster,"Fast2,Slow2,400Free",1
is_athlete_faster,"Fast2,Slow2,50Free",1
is_athlete_faster,"Fast2,Slow3,100Free",1
is_athlete_faster,"Fast2,Slow3,200Free",1
is_athlete_faster,"Fast2,Slow3,400Free",1
is_athlete_faster,"Fast2,Slow3,50Free",1
is_athlete_faster,"Fast2,Slow4,100Free",1
is_athlete_faster,"Fast2,Slow4,200Free",1
is_athlete_faster,"Fast2,Slow4,400Free",1
is_athlete_faster,"Fast2,Slow4,50Free",1
is_athlete_faster,"Fast3,Fast1,100Free",0
is_athlete_faster,"Fast3,Fast1,200Free",0
is_athlete_faster,"Fast3,Fast1,400Free",1
is_athlete_faster,"Fast3,Fast1,50Free",0
is_athlete_faster,"Fast3,Fast2,100Free",0
is_athlete_faster,"Fast3,Fast2,200Free",1
is_athlete_faster,"Fast3,Fast2,400Free",1
is_athlete_faster,"Fast3,Fast2,50Free",0
is_athlete_faster,"Fast3,Fast4,100Free",0
is_athlete_faster,"Fast3,Fast4,200Free",1
is_athlete_faster,"Fast3,Fast4,400Free",0
is_athlete_faster,"Fast3,Fast4,50Free",1
is_athlete_faster,"Fast3,Slow1,100Free",1
is_athlete_faster,"Fast3,Slow1,200Free",1
is_athlete_faster,"Fast3,Slow1,400Free",1
is_athlete_faster,"Fast3,Slow1,50Free",1
is_athlete_faster,"Fast3,Slow2,100Free",1
is_athlete_faster,"Fast3,Slow2,200Free",1
is_athlete_faster,"Fast3,Slow2,400Free",1
is_athlete_faster,"Fast3,Slow2,50Free",1
is_athlete_faster,"Fast3,Slow3,100Free",1
is_athlete_faster,"Fast3,Slow3,200Free",1
is_athlete_faster,"Fast3,Slow3,400Free",1
is_athlete_faster,"Fast3,Slow3,50Free",1
is_athlete_faster,"Fast3,Slow4,100Free",1
is_athlete_faster,"Fast3,Slow4,200Free",1
is_athlete_faster,"Fast3,Slow4,400Free",1
is_athlete_faster,"Fast3,Slow4,50Free",1
is_athlete_faster,"Fast4,Fast1,100Free",0
is_athlete_faster,"Fast4,Fast1,200Free",0
is_athlete_faster,"Fast4,Fast1,400Free",1
is_athlete_faster,"Fast4,Fast1,50Free",1
is_athlete_faster,"Fast4,Fast2,100Free",0
is_athlete_faster,"Fast4,Fast2,200Free",1
is_athlete_faster,"Fast4,Fast2,400Free",0
is_athlete_faster,"Fast4,Fast2,50Free",0
is_athlete_faster,"Fast4,Fast3,100Free",1
is_athlete_faster,"Fast4,Fast3,200Free",0
is_athlete_faster,"Fast4,Fast3,400Free",0
is_athlete_faster,"Fast4,Fast3,50Free",0
is_athlete_faster,"Fast4,Slow1,100Free",1
is_athlete_faster,"Fast4,Slow1,200Free",1
is_athlete_faster,"Fast4,Slow1,400Free",1
is_athlete_faster,"Fast4,Slow1,50Free",1
is_athlete_faster,"Fast4,Slow2,100Free",1
is_athlete_faster,"Fast4,Slow2,200Free",1
is_athlete_faster,"Fast4,Slow2,400Free",1
is_athlete_faster,"Fast4,Slow2,50Free",1
is_athlete_faster,"Fast4,Slow3,100Free",1
is_athlete_faster,"Fast4,Slow3,200Free",1
is_athlete_faster,"Fast4,Slow3,400Free",1
is_athlete_faster,"Fast4,Slow3,50Free",1
is_athlete_faster,"Fast4,Slow4,100Free",1
is_athlete_faster,"Fast4,Slow4,200Free",1
is_athlete_faster,"Fast4,Slow4,400Free",1
is_athlete_faster,"Fast4,Slow4,50Free",1
is_athlete_faster,"Slow1,Fast1,100Free",0
is_athlete_faster,"Slow1,Fast1,200Free",0
is_athlete_faster,"Slow1,Fast1,400Free",0
is_athlete_faster,"Slow1,Fast1,50Free",0
is_athlete_faster,"Slow1,Fast2,100Free",0
is_athlete_faster,"Slow1,Fast2,200Free",0
is_athlete_faster,"Slow1,Fast2,400Free",0
is_athlete_faster,"Slow1,Fast2,50Free",0
is_athlete_faster,"Slow1,Fast3,100Free",0
is_athlete_faster,"Slow1,Fast3,200Free",0
is_athlete_faster,"Slow1,Fast3,400Free",0
is_athlete_faster,"Slow1,Fast3,50Free",0
is_athlete_faster,"Slow1,Fast4,100Free",0
is_athlete_faster,"Slow1,Fast4,200Free",0
is_athlete_faster,"Slow1,Fast4,400Free",0
is_athlete_faster,"Slow1,Fast4,50Free",0
is_athlete_faster,"Slow1,Slow2,100Free",1
is_athlete_faster,"Slow1,Slow2,200Free",0
is_athlete_faster,"Slow1,Slow2,400Free",0
is_athlete_faster,"Slow1,Slow2,50Free",0
is_athlete_faster,"Slow1,Slow3,100Free",0
is_athlete_faster,"Slow1,Slow3,200Free",0
is_athlete_faster,"Slow1,Slow3,400Free",1
is_athlete_faster,"Slow1,Slow3,50Free",0
is_athlete_faster,"Slow1,Slow4,100Free",0
is_athlete_faster,"Slow1,Slow4,200Free",1
is_athlete_faster,"Slow1,Slow4,400Free",1
is_athlete_faster,"Slow1,Slow4,50Free",0
is_athlete_faster,"Slow2,Fast1,100Free",0
is_athlete_faster,"Slow2,Fast1,200Free",0
is_athlete_faster,"Slow2,Fast1,400Free",0
is_athlete_faster,"Slow2,Fast1,50Free",0
is_athlete_faster,"Slow2,Fast2,100Free",0
is_athlete_faster,"Slow2,Fast2,200Free",0
is_athlete_faster,"Slow2,Fast2,400Free",0
is_athlete_faster,"Slow2,Fast2,50Free",0
is_athlete_faster,"Slow2,Fast3,100Free",0
is_athlete_faster,"Slow2,Fast3,200Free",0
is_athlete_faster,"Slow2,Fast3,400Free",0
is_athlete_faster,"Slow2,Fast3,50Free",0
is_athlete_faster,"Slow2,Fast4,100Free",0
is_athlete_faster,"Slow2,Fast4,200Free",0
is_athlete_faster,"Slow2,Fast4,400Free",0
is_athlete_faster,"Slow2,Fast4,50Free",0
is_athlete_faster,"Slow2,Slow1,100Free",0
is_athlete_faster,"Slow2,Slow1,200Free",1
is_athlete_faster,"Slow2,Slow1,400Free",1
is_athlete_faster,"Slow2,Slow1,50Free",0
is_athlete_faster,"Slow2,Slow3,100Free",0
is_athlete_faster,"Slow2,Slow3,200Free",0
is_athlete_faster,"Slow2,Slow3,400Free",1
is_athlete_faster,"Slow2,Slow3,50Free",0
is_athlete_faster,"Slow2,Slow4,100Free",0
is_athlete_faster,"Slow2,Slow4,200Free",1
is_athlete_faster,"Slow2,Slow4,400Free",0
is_athlete_faster,"Slow2,Slow4,50Free",1
is_athlete_faster,"Slow3,Fast1,100Free",0
is_athlete_faster,"Slow3,Fast1,200Free",0
is_athlete_faster,"Slow3,Fast1,400Free",0
is_athlete_faster,"Slow3,Fast1,50Free",0
is_athlete_faster,"Slow3,Fast2,100Free",0
is_athlete_faster,"Slow3,Fast2,200Free",0
is_athlete_faster,"Slow3,Fast2,400Free",0
is_athlete_faster,"Slow3,Fast2,50Free",0
is_athlete_faster,"Slow3,Fast3,100Free",0
is_athlete_faster,"Slow3,Fast3,200Free",0
is_athlete_faster,"Slow3,Fast3,400Free",0
is_athlete_faster,"Slow3,Fast3,50Free",0
is_athlete_faster,"Slow3,Fast4,100Free",0
is_athlete_faster,"Slow3,Fast4,200Free",0
is_athlete_faster,"Slow3,Fast4,400Free",0
is_athlete_faster,"Slow3,Fast4,50Free",0
is_athlete_faster,"Slow3,Slow1,100Free",0
is_athlete_faster,"Slow3,Slow1,200Free",1
is_athlete_faster,"Slow3,Slow1,400Free",1
is_athlete_faster,"Slow3,Slow1,50Free",0
